barcode,product_name,editeur,supplier_name,total_qty_invoiced,list_price
9782810207800,"MIMOSA, MOMO ET MOI",RUE DE SEVRES,Union Distribution (UD),1.00,12.9
9782810207817,LA FORET MAGIQUE DE HOSHIGAHARA T4,RUE DE SEVRES,Union Distribution (UD),6.00,9.9
9782810207848,MA MAMIE ADOREE T3,RUE DE SEVRES,Union Distribution (UD),4.00,12.9
9782810207886,CLOVD T2 : EXCALIBUR,RUE DE SEVRES,Union Distribution (UD),1.00,18.90
9782810207916,MA MAMIE ADOREE T1,RUE DE SEVRES,Union Distribution (UD),1.00,12.9
9782810207947,LE CHOIX DE SAM,RUE DE SEVRES,Union Distribution (UD),1.00,15
9782810208036,CABALLERO BUENO - UNE ENQUETE DE L'INSPECTEUR VALVERDE,RUE DE SEVRES,Union Distribution (UD),8.00,25
9782810208098,ET SOUDAIN LE FUTUR,RUE DE SEVRES,Union Distribution (UD),5.00,22
9782810208241,LE CHATEAU DES ETOILES T7 : PLANETE DES BRUMES,RUE DE SEVRES,Union Distribution (UD),1.00,14.5
9782810209255,LE MEILLEUR VOYAGE DE TOUTE MA VIE,RUE DE SEVRES,Union Distribution (UD),1.00,18
9782810209392,PLANETARIUM GHOST TRAVEL T3,RUE DE SEVRES,Union Distribution (UD),9.00,12.9
9782810209651,SHIN ZERO T1,RUE DE SEVRES,Union Distribution (UD),2.00,13.9
9782810210046,NIKUKO DU PORT DE PECHE T2,RUE DE SEVRES,Union Distribution (UD),1.00,9.9
9782810210671,LOT DE 3 EX. SHIKISHI - NIKUKO DU PORT DE PECHE,RUE DE SEVRE,Union Distribution (UD),1.00,0.00
9782810210756,LOT DE 5 STICKERS - SLUM KIDS T2,RUE DE SEVRE,,1.00,0.00
9782810211180,NIKUKO DU PORT DE PECHE T1,RUE DE SEVRES,Union Distribution (UD),1.00,9.9
9782810440269,LES COULISSES D'UNE OEUVRE - T02 - LES COULISSES D'UNE OEUVRE - 2 - VOL02 - TINTIN AU CONGO,PRISMA MOULINSA,Union Distribution (UD),2.00,19.95
9782810440283,LES COULISSES D'UNE OEUVRE - T04 - LES COULISSES D'UNE OEUVRE - 4 - VOL04 - LES CIGARES DU PHARAON,PRISMA MOULINSA,Union Distribution (UD),1.00,19.95
9782810440931,LES COULISSES D'UNE OEUVRE - T05 - LES COULISSES D'UNE OEUVRE - 5 - VOL05 - LE LOTUS BLEU,PRISMA MOULINSA,Union Distribution (UD),2.00,19.95
9782810441624,LA MAGIE DES ECLATS DE VERRE,EDITIONS PRISMA,Dilibel ,1.00,20.05
9782810441679,TINTIN C'EST L'AVENTURE N 24 - BELGIQUE - OFFRE JUMELEE,GEO MOULINSART,Union Distribution (UD),2.00,23.98
9782810441686,TINTIN C'EST L'AVENTURE N 24 - BELGIQUE,GEO MOULINSART,Union Distribution (UD),10.00,19.99
9782810510443,100 REPARTIES DE LEGENDE,STE DU FIGARO,SODIS,5.00,9.9
9782810510566,NE FAITES PLUS LA FAUTE - 100 REGLES DE FRANCAIS A MEMORISER,STE DU FIGARO,SODIS,3.00,9.9
9782810510580,LA GUERRE DE CENT ANS,STE DU FIGARO,SODIS,4.00,9.9
9782810905362,LE DROIT A LA SANTE DES PERSONNES HANDICAPEES MENTALES ET PSYCHIQUES - LE ROLE DES ETABLISSEMENTS ET,EHESP,SODIS,1.00,27.50
9782810908011,CLASSIFICATION FRANCAISE DES TROUBLES MENTAUX DE L'ENFANT ET DE L'ADOLESCENT - CLASSIFICATION PSYCHO,EHESP,SODIS,1.00,34.48
9782810908585,MON AMI HORS DU COMMUN,HYGEE,SODIS,1.00,14.9
9782810910373,LA MEDIATION AU SERVICE DE LA SANTE ET DU MEDICO-SOCIAL,EHESP,SODIS,1.00,18
9782810910861,LE HARCELEMENT ET (PAS) MOI - L'ESSENTIEL POUR Y FAIRE FACE,HYGEE,SODIS,1.00,13.9
9782811698874,L'ATELIER DES SORCIERS T01 EDITION GRIMOIRE,PIKA,Dilibel ,1.00,20.05
9782812205705,VAINCRE L'ANGOISSE,RAMSAY,Dilisco ,1.00,19
9782812438233,Leibniz et le meilleur des mondes possibles,CLASSIQ GARNIER,SODIS,1.00,42.90
9782812600364,MES PARENTS SONT MARTEAUX,ROUERGUE,Union Distribution (UD),2.00,14.70
9782812603334,LE MONDE EN PYJAMARAMA - T02 - LUNAPARC EN PYJAMARAMA,ROUERGUE,Union Distribution (UD),1.00,17.90
9782812605611,"CHOUETTE DE VIE - ILLUSTRATIONS, COULEUR",ROUERGUE,Union Distribution (UD),1.00,12.5
9782812606885,"LE MONDE EN PYJAMARAMA - T05 - PARIS EN PYJAMARAMA - ILLUSTRATIONS, COULEUR",ROUERGUE,Union Distribution (UD),1.00,17.90
